Fluid_lvl_tank102;Pressure_tank103;Pump_speed;Flowmeter;Tank102_set;Pressure_set;Flow_set;Fluid_lvl_tank101_IO_link;Fluid_lvl_tank102_IO_link;Fluid_lvl_MAX_tank101;Fluid_lvl_MIN_tank101;V101;V102;V103;V104;V106;V107;V108;V109;V112;Cycle_nuber;EStop;Work;State
81.61058;196.66087;80.0977;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;193.6;80.21755;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;194.87537;80.243706;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;195.13045;80.65402;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
81.61058;195.89566;80.1738;0.0;0.0;200.0;0.0;105;85;0;0;0;0;0;0;1;0;1;0;0;1;0;1;7
82.95673;197.93623;99.91;0.9;100.0;0.0;1.0;105;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
83.46154;197.93623;96.96;1.19;100.0;0.0;1.0;105;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
83.96635;197.68117;94.26;1.16;100.0;0.0;1.0;105;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
84.30289;197.93623;90.060005;1.15;100.0;0.0;1.0;105;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
84.97596;197.68117;87.55;1.09;100.0;0.0;1.0;100;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
85.64904;197.93623;86.03;1.08;100.0;0.0;1.0;100;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
85.81731;197.93623;85.06;1.05;100.0;0.0;1.0;100;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
85.81731;197.93623;83.92;1.04;100.0;0.0;1.0;100;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
87.16346;197.93623;83.350006;1.02;100.0;0.0;1.0;100;90;0;0;1;0;0;0;0;0;0;0;0;1;0;1;8
87.5;211.71016;82.51;1.03;100.0;0.0;1.0;100;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
88.34135;205.84349;82.43001;1.0;100.0;0.0;1.0;100;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
88.84615;208.13914;82.31;1.0;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
89.6875;206.86377;82.23;1.02;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
89.6875;206.86377;82.0;1.01;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
90.19231;203.03769;81.9;1.0;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
90.86539;202.78262;81.9;1.0;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
91.53846;203.8029;81.98;1.0;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
92.54808;205.07826;82.02;1.01;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
92.21154;203.29276;82.020004;1.0;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
93.55769;203.29276;81.96001;1.0;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
94.23077;203.03769;82.020004;1.0;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
94.23077;202.78262;82.100006;0.99;100.0;0.0;1.0;95;90;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
94.90385;204.56813;82.15;1.0;100.0;0.0;1.0;95;95;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
95.74519;203.03769;82.119995;0.99;100.0;0.0;1.0;95;95;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
95.91346;205.58841;82.100006;1.01;100.0;0.0;1.0;90;95;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
97.25961;204.8232;82.04;0.99;100.0;0.0;1.0;90;95;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
97.76443;203.03769;81.920006;1.01;100.0;0.0;1.0;90;95;0;0;1;0;0;0;1;0;1;0;0;1;0;1;8
98.10096;64.53333;0.0;-0.11;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
98.4375;8.417392;0.0;-0.33;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
97.93269;7.652174;0.0;-0.36;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
97.93269;7.652174;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
97.25961;7.397102;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
96.75481;7.1420293;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
96.41827;7.1420293;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
96.08173;6.8869567;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
95.57693;6.8869567;0.0;-0.36;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
95.40865;6.8869567;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
95.40865;6.8869567;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
94.90385;7.1420293;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
94.56731;6.8869567;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
94.23077;6.8869567;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
93.72596;7.1420293;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
93.72596;6.8869567;0.0;-0.37;0.0;0.0;0.0;90;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
93.05289;6.8869567;0.0;-0.37;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
92.88461;6.8869567;0.0;-0.37;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
92.71635;6.8869567;0.0;-0.36;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
92.71635;6.8869567;0.0;-0.36;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
92.21154;7.1420293;0.0;-0.37;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
92.04327;7.1420293;0.0;-0.36;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
91.53846;7.1420293;0.0;-0.37;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
91.70673;7.1420293;0.0;-0.37;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
91.20193;7.1420293;0.0;-0.37;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
90.86539;7.1420293;0.0;-0.37;0.0;0.0;0.0;95;95;0;0;1;1;0;0;0;1;0;0;1;1;0;1;9
